length,width,switch_length
70,20,72.904572777514459858
78,20,80.619013563812018219
90,20,92.281681272438689234
94,20,96.187657083815210513
99,20,101.0804661468000063
100,20,102.06027499293334415
102,20,104.02104618102566747
110,20,111.87803306256944325
