start_radius,end_radius,angle,percent,switch_radius
30,50,80,1,42.585823619267500817
30,50,80,2,41.628480157655431526
30,50,80,3,40.704421361426447845
30,50,80,4,39.813709561853933394
30,50,80,5,38.953727811795005209
30,50,80,6,38.127523439289106477
30,50,80,7,37.335137995668134181
30,50,80,8,36.576662632613619053
30,50,80,9,35.852192104998501065
30,50,80,10,35.159708576060239693
30,50,80,11,34.501588191518813176
30,50,80,12,33.877935419139703299
30,50,80,13,33.288865940613625583
30,50,80,14,32.73444252640842933
30,50,80,15,32.214803949358376656
30,50,80,16,31.73147061019923143
30,50,80,17,31.282983908065084222
30,50,80,18,30.870683168651414263
30,50,80,19,30.493381273366420459
30,50,80,20,30.152249341109840231
30,50,80,21,29.847190367324213156
30,50,80,22,29.578216201635239457
30,50,80,23,29.345300753692246332
30,50,80,24,29.147963010750320478
30,50,80,25,28.987393665101237161
30,50,80,26,28.863112187025809163
30,50,80,27,28.775505404915755037
30,50,80,28,28.724383718137030286
30,50,80,29,28.709760922987594967
30,50,80,30,28.731618504676699644
30,50,80,31,28.790152466698973655
30,50,80,32,28.885100740324048729
30,50,80,33,29.016293313892873584
30,50,80,34,29.183603443037888781
30,50,80,35,29.387539302020080356
30,50,80,36,29.628352454803248861
30,50,80,37,29.905453163930154403
30,50,80,38,30.217885691490106836
30,50,80,39,30.566520709789795518
30,50,80,40,30.950176642174248798
30,50,80,41,31.369931553840753935
30,50,80,42,31.824584084418919616
30,50,80,43,32.315414284750481499
30,50,80,44,32.842634291330867313
30,50,80,45,33.402934127555234056
30,50,80,46,33.997741202379366143
30,50,80,47,34.626990826890697406
30,50,80,48,35.292627713379729926
30,50,80,49,35.992705050596946137
30,50,80,50,36.724825084499656214
30,50,80,51,37.491030959994219529
30,50,80,52,38.291229873784473625
30,50,80,53,39.125332347238860109
30,50,80,54,39.990446037399621559
30,50,80,55,40.889091785733974405
30,50,80,56,41.818063407610743809
30,50,80,57,42.78011915561642553
30,50,80,58,43.775185223988991368
30,50,80,59,44.803099019195251174
30,50,80,60,45.86377267176692385
30,50,80,61,46.953343466308282927
30,50,80,62,48.075129455542317203
30,50,80,63,49.224972314232395831
30,50,80,64,50.406464387272151839
30,50,80,65,51.619416620326418865
30,50,80,66,52.86363000445082605
30,50,80,67,54.134334045260636969
30,50,80,68,55.435612160264746251
30,50,80,69,56.76722159777627752
30,50,80,70,58.128908173458071929
30,50,80,71,59.51526647519601454
30,50,80,72,60.930884700961151168
30,50,80,73,62.375462575337436988
30,50,80,74,63.854284539169654522
30,50,80,75,65.355988571814094712
30,50,80,76,66.885687350764797543
30,50,80,77,68.443035755800408992
30,50,80,78,70.027654613658839367
30,50,80,79,71.645521163139065379
30,50,80,80,73.283696611453933656
30,50,80,81,74.95462212393957202
30,50,80,82,76.644722046933324577
30,50,80,83,78.367027443403245002
30,50,80,84,80.107310197976858035
30,50,80,85,81.879201360802994714
30,50,80,86,83.675257737947177361
30,50,80,87,85.502593078245226366
30,50,80,88,87.353425444226289187
30,50,80,89,89.227243642221793607
30,50,80,90,91.123525548165574151
35,55,90,1,56.150094669171267014
35,55,90,2,54.735338641745720167
35,55,90,3,53.364108516831478823
35,55,90,4,52.032098965152826509
35,55,90,5,50.744164397825656465
35,55,90,6,49.500412558156234866
35,55,90,7,48.29705707360879785
35,55,90,8,47.134673863426286289
35,55,90,9,46.017307889567966583
35,55,90,10,44.945018423411035258
