tick,x,turbo,switch,a,v,dir,rad,piece_no,schedule_time,initial_schedule_safe,nodes_visited,leafs_visited,unsafe_cuts,ub_cuts,solution_improvements,schedule,predicted_angles,0_throttle_predictions
835,1,0,1,56,6.7,-1,1e+02,34,0.025,1,1,0,0,2,0,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,56 56 56 57 57 58 58 59 60 60 60 59 57 56 54 51 49 46 43 40 37 33 30 27 24 21 18 15 12 9.8 7.4 5.2 3.1 1.2 -0.48 -2 -3.4 -4.6 -5.6 -6.5 -7.2 -7.7 -8.2 -8.5 -8.6 ,56 56 56 56 56 56 55 54 53 52 50 49 47 45 43 41 39 37 35 33 31 29 27 25 23 21 19 18 16 15 13 12 11 9.5 8.5 7.5 6.5 5.7 4.9 4.1 3.4 2.8 2.2 1.7 1.2 
836,1,0,1,56,6.8,-1,1e+02,34,0.017,1,2,0,0,3,0,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,56 56 57 57 58 58 59 60 60 60 59 57 56 54 51 49 46 43 40 37 33 30 27 24 21 18 15 12 9.8 7.4 5.2 3.1 1.2 -0.48 -2 -3.4 -4.6 -5.6 -6.5 -7.2 -7.7 -8.2 -8.5 -8.6 -8.7 ,56 56 57 57 56 56 56 55 54 53 51 50 48 46 44 42 40 38 35 33 31 29 27 25 23 21 20 18 16 15 13 12 11 9.6 8.5 7.5 6.5 5.6 4.8 4.1 3.4 2.7 2.2 1.6 1.1 
837,1,0,1,56,6.8,-1,1e+02,34,0.014,1,1,0,0,2,0,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,56 57 57 58 58 59 60 60 60 59 57 56 54 51 49 46 43 40 37 33 30 27 24 21 18 15 12 9.8 7.4 5.2 3.1 1.2 -0.48 -2 -3.4 -4.6 -5.6 -6.5 -7.2 -7.7 -8.2 -8.5 -8.6 -8.7 -8.7 ,56 57 57 57 57 57 56 56 55 54 52 50 48 46 44 42 40 38 36 33 31 29 27 25 23 21 19 18 16 15 13 12 11 9.4 8.3 7.2 6.3 5.4 4.6 3.8 3.1 2.5 1.9 1.3 0.86 
838,1,0,1,56,6.9,-1,1e+02,34,0.015,1,2,0,0,3,0,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,57 57 58 58 59 60 60 60 59 57 56 54 51 49 46 43 40 37 33 30 27 24 21 18 15 12 9.8 7.4 5.2 3.1 1.2 -0.48 -2 -3.4 -4.6 -5.6 -6.5 -7.2 -7.7 -8.2 -8.5 -8.6 -8.7 -8.7 -8.5 ,57 57 57 58 58 58 57 56 55 54 53 51 49 47 45 42 40 38 36 33 31 29 27 25 23 21 19 17 16 14 13 11 10 8.9 7.8 6.7 5.8 4.9 4.1 3.3 2.6 2 1.4 0.89 0.42 
839,1,0,1,57,7,-1,1e+02,34,0.025,1,1,0,0,2,0,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,57 58 58 59 60 60 60 59 57 56 54 51 49 46 43 40 37 33 30 27 24 21 18 15 12 9.8 7.4 5.2 3.1 1.2 -0.48 -2 -3.4 -4.6 -5.6 -6.5 -7.2 -7.7 -8.2 -8.5 -8.6 -8.7 -8.7 -8.5 -8.3 ,57 58 58 58 58 58 57 56 55 53 51 49 47 45 43 40 38 35 33 31 29 26 24 22 20 18 17 15 13 12 11 9.3 8.1 6.9 5.9 4.9 4 3.2 2.5 1.8 1.2 0.6 0.089 -0.37 -0.78 
840,1,0,1,57,7,-1,1e+02,34,0.02,1,6,0,0,7,0,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,58 58 59 60 60 60 59 57 56 54 51 49 46 43 40 37 33 30 27 24 21 18 15 12 9.8 7.4 5.2 3.1 1.2 -0.48 -2 -3.4 -4.6 -5.6 -6.5 -7.2 -7.7 -8.2 -8.5 -8.6 -8.7 -8.7 -8.5 -8.3 -8.1 ,58 58 59 59 59 58 57 56 54 53 51 48 46 44 41 39 37 34 32 29 27 25 23 21 19 17 15 14 12 11 9.3 8 6.8 5.8 4.7 3.8 3 2.2 1.5 0.85 0.27 -0.25 -0.72 -1.1 -1.5 
841,1,0,1,58,7.1,-1,1e+02,34,0.018,1,1,0,0,2,0,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,58 59 60 60 60 59 57 56 54 51 49 46 43 40 37 33 30 27 24 21 18 15 12 9.8 7.4 5.2 3.1 1.2 -0.48 -2 -3.4 -4.6 -5.6 -6.5 -7.2 -7.7 -8.2 -8.5 -8.6 -8.7 -8.7 -8.5 -8.3 -8.1 -7.7 ,58 59 60 60 59 58 57 55 54 52 49 47 45 42 40 37 35 32 30 28 25 23 21 19 17 15 14 12 10 9 7.7 6.5 5.4 4.4 3.4 2.6 1.8 1.1 0.4 -0.19 -0.71 -1.2 -1.6 -2 -2.3 
842,1,0,1,58,7.1,-1,1e+02,34,0.014,1,1,0,0,2,0,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,59 60 60 60 59 57 56 54 51 49 46 43 40 37 33 30 27 24 21 18 15 12 9.8 7.4 5.2 3.1 1.2 -0.48 -2 -3.4 -4.6 -5.6 -6.5 -7.2 -7.7 -8.2 -8.5 -8.6 -8.7 -8.7 -8.5 -8.3 -8.1 -7.7 -7.3 ,59 60 60 60 59 57 56 54 52 50 48 45 43 40 37 35 32 30 28 25 23 21 19 17 15 13 12 10 8.6 7.2 6 4.9 3.8 2.9 2 1.2 0.47 -0.18 -0.77 -1.3 -1.8 -2.2 -2.5 -2.9 -3.1 
843,1,0,1,59,7,-1,1e+02,34,0.016,1,1,0,0,2,0,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,60 60 59 59 57 56 53 51 49 46 43 40 37 34 31 27 24 21 18 16 13 10 8 5.8 3.7 1.8 0.087 -1.5 -2.8 -4.1 -5.1 -6 -6.7 -7.3 -7.8 -8.1 -8.3 -8.4 -8.4 -8.4 -8.2 -8 -7.7 -7.3 -6.9 ,60 60 60 59 57 56 54 52 50 48 45 43 40 37 35 32 30 28 25 23 21 19 17 15 13 12 10 8.6 7.2 6 4.9 3.8 2.9 2 1.2 0.47 -0.18 -0.77 -1.3 -1.8 -2.2 -2.5 -2.9 -3.1 -3.4 
844,1,1,1,60,6.9,0,0,35,2.7,0,208,96,0,5,96,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.5 0 0 0 0 0 0 0 0 0 0 0 ,60 59 59 57 55 53 50 47 44 40 36 32 28 24 20 16 13 9 5.5 2.4 -0.55 -3.2 -5.4 -7.4 -9 -10 -11 -12 -12 -12 -12 -11 -11 -9.9 -9 -7.9 -6.8 -5.7 -4.5 -3.4 -2.4 -1.4 -0.46 0.38 1.1 ,60 60 59 57 56 54 52 50 48 45 43 40 37 35 32 30 28 25 23 21 19 17 15 13 12 10 8.6 7.2 6 4.9 3.8 2.9 2 1.2 0.47 -0.18 -0.77 -1.3 -1.8 -2.2 -2.5 -2.9 -3.1 -3.4 -3.6 
